gene_ensembl_id,Hugo_Gene_Symbol,selection_frequency
ENSG00000175416.16,CLTB,1.0
ENSG00000090889.12,KIF4A,1.0
ENSG00000284015.1,MIR1281,1.0
ENSG00000164142.16,FAM160A1,1.0
ENSG00000011201.12,ANOS1,1.0
ENSG00000215105.4,TTC3P1,1.0
ENSG00000064692.20,SNCAIP,1.0
ENSG00000153956.16,CACNA2D1,1.0
ENSG00000206384.10,COL6A6,0.98
ENSG00000169933.16,FRMPD4,0.96
ENSG00000169306.10,IL1RAPL1,0.96
ENSG00000162409.11,PRKAA2,0.96
ENSG00000159128.15,IFNGR2,0.96
ENSG00000205592.15,MUC19,0.96
ENSG00000182208.14,MOB2,0.9
ENSG00000224227.3,OR2L1P,0.9
ENSG00000224539.1,SAGE4P,0.88
ENSG00000184840.12,TMED9,0.86
ENSG00000138162.19,TACC2,0.86
ENSG00000123144.11,TRIR,0.86
ENSG00000120708.17,TGFBI,0.86
ENSG00000160570.14,DEDD2,0.86
ENSG00000163931.16,TKT,0.84
ENSG00000230510.7,PPP5D1,0.84
ENSG00000184232.9,OAF,0.84
ENSG00000170615.15,SLC26A5,0.82
ENSG00000233220.3,LINC00167,0.82
ENSG00000104904.12,OAZ1,0.8
ENSG00000260314.3,MRC1,0.8
ENSG00000179010.15,MRFAP1,0.8
ENSG00000161642.18,ZNF385A,0.8
ENSG00000115137.12,DNAJC27,0.78
ENSG00000113269.14,RNF130,0.78
ENSG00000175602.4,CCDC85B,0.78
ENSG00000164713.10,BRI3,0.76
ENSG00000131401.11,NAPSB,0.76
ENSG00000135363.12,LMO2,0.76
ENSG00000214212.9,C19orf38,0.74
ENSG00000101825.8,MXRA5,0.74
ENSG00000154370.16,TRIM11,0.74
ENSG00000078098.14,FAP,0.72
ENSG00000129226.14,CD68,0.72
ENSG00000011600.12,TYROBP,0.72
ENSG00000186350.12,RXRA,0.72
ENSG00000131669.10,NINJ1,0.7
ENSG00000164309.15,CMYA5,0.7
ENSG00000171813.14,PWWP2B,0.7
ENSG00000197915.7,HRNR,0.7
ENSG00000117748.10,RPA2,0.68
ENSG00000204021.5,LIPK,0.68
ENSG00000196188.12,CTSE,0.68
ENSG00000101220.18,C20orf27,0.68
ENSG00000136938.9,ANP32B,0.66
ENSG00000156219.17,ART3,0.66
ENSG00000198113.3,TOR4A,0.66
ENSG00000074771.4,NOX3,0.66
ENSG00000171763.20,SPATA5L1,0.64
ENSG00000126838.10,PZP,0.64
ENSG00000205269.6,TMEM170B,0.64
ENSG00000155465.20,SLC7A7,0.64
ENSG00000107518.18,ATRNL1,0.62
ENSG00000183098.11,GPC6,0.62
ENSG00000081803.16,CADPS2,0.62
ENSG00000150977.11,RILPL2,0.6
ENSG00000234841.4,RP11-119H12.4,0.6
ENSG00000258429.2,PDF,0.6
ENSG00000111783.13,RFX4,0.6
ENSG00000148090.12,AUH,0.58
ENSG00000133597.11,ADCK2,0.58
ENSG00000196632.10,WNK3,0.58
ENSG00000267277.1,CTD-2342J14.6,0.58
ENSG00000128536.16,CDHR3,0.56
ENSG00000159335.18,PTMS,0.56
ENSG00000229807.13,XIST,0.56
ENSG00000007001.13,UPP2,0.56
ENSG00000127241.18,MASP1,0.56
ENSG00000114374.13,USP9Y,0.54
ENSG00000123191.16,ATP7B,0.54
ENSG00000284741.1,PDE11A,0.54
ENSG00000250145.1,CTD-2285G11.1,0.54
ENSG00000001626.16,CFTR,0.54
ENSG00000070614.15,NDST1,0.54
ENSG00000107262.26,BAG1,0.54
ENSG00000122970.16,IFT81,0.52
