model,outer_fold,n_test,roc_auc,pr_auc,sensitivity,specificity,accuracy,best_params,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,sensitivity_ci_lo,sensitivity_ci_hi,specificity_ci_lo,specificity_ci_hi,accuracy_ci_lo,accuracy_ci_hi
logreg,0,38,0.7305555555555556,0.8122448821128181,0.55,0.8333333333333334,0.6842105263157895,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200}",,,,,,,,,,
logreg,1,38,0.8947368421052632,0.9173418612616349,0.7894736842105263,0.7368421052631579,0.7631578947368421,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 100}",,,,,,,,,,
logreg,2,38,0.8698060941828254,0.9032947754000382,0.8421052631578947,0.7368421052631579,0.7894736842105263,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200}",,,,,,,,,,
logreg,3,38,0.8421052631578948,0.854186339930596,0.7894736842105263,0.8421052631578947,0.8157894736842105,"{'clf__C': 1, 'clf__penalty': 'l1', 'select__k': 50}",,,,,,,,,,
logreg,4,37,0.804093567251462,0.8564701074251155,0.6842105263157895,0.6666666666666666,0.6756756756756757,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 200}",,,,,,,,,,
xgboost,0,38,0.7361111111111112,0.8150062814574373,0.65,0.8333333333333334,0.7368421052631579,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'select__k': 200}",,,,,,,,,,
xgboost,1,38,0.8836565096952909,0.8919071190715562,0.6842105263157895,0.8421052631578947,0.7631578947368421,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'select__k': 200}",,,,,,,,,,
xgboost,2,38,0.8421052631578947,0.8752607100187741,0.7368421052631579,0.6842105263157895,0.7105263157894737,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 100, 'select__k': 100}",,,,,,,,,,
xgboost,3,38,0.8891966759002771,0.901311407890355,0.7894736842105263,0.7368421052631579,0.7631578947368421,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'select__k': 50}",,,,,,,,,,
xgboost,4,37,0.804093567251462,0.8685855689984543,0.6842105263157895,0.7222222222222222,0.7027027027027027,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'select__k': 100}",,,,,,,,,,
logreg,"AGGREGATE (pooled OOF, bootstrap 95% CI)",189,0.8205786646908767,0.840599906469544,0.729407056990988,0.7631054421339424,0.7459947089947091,,0.7556208844701469,0.8802238053176069,0.7638870248057548,0.9081087660988881,0.6412911566061629,0.8163265306122449,0.6730263157894737,0.8446777099389449,0.6825396825396826,0.8042328042328042
xgboost,"AGGREGATE (pooled OOF, bootstrap 95% CI)",189,0.8253052988578445,0.8643147617405308,0.7088379697867381,0.7638940297662439,0.7359232804232804,,0.7659539834507628,0.8802518290950999,0.8103115822697423,0.9127027389079378,0.6176470588235294,0.7978723404255319,0.6796085387104804,0.845360824742268,0.671957671957672,0.7936507936507936
