2026-08-29 14:03:01,558 | 01_parse_data | INFO | Loading GSE221921_FM_ProcessedData.xlsx (this is large; may take a minute)...
2026-08-29 14:03:02,518 | 01_parse_data | INFO | Parsed 'Metadata (Samples)': 189 samples
2026-08-29 14:03:30,438 | 01_parse_data | INFO | Parsed 'Values (FPKM)': 103810 genes x 189 samples
2026-08-29 14:03:30,561 | 01_parse_data | INFO | xlsx sheet label counts: FM=0 Control=93
2026-08-29 14:03:30,561 | 01_parse_data | INFO | series-matrix label counts: FM=96 Control=93
2026-08-29 14:03:30,561 | 01_parse_data | WARNING | DISCREPANCY vs paper (96 FM / 93 control) or between the two GEO metadata sources. xlsx: FM=0 Control=93 | series-matrix: FM=96 Control=93. Proceeding with the xlsx 'Metadata (Samples)' sheet as the label source of truth (it is keyed by the same Sample_XXX ids as the expression matrix); this discrepancy is recorded here and must be repeated in the write-up.
2026-08-29 14:03:30,579 | 01_parse_data | INFO | Sex fields agree between xlsx and series-matrix for all joined samples.
2026-08-29 14:04:18,957 | 01_parse_data | INFO | Wrote expression_fpkm.csv, gene_metadata.csv, sample_metadata.csv to data/processed/
2026-08-29 14:05:23,665 | 01_parse_data | INFO | Loading GSE221921_FM_ProcessedData.xlsx (this is large; may take a minute)...
2026-08-29 14:05:24,482 | 01_parse_data | INFO | Parsed 'Metadata (Samples)': 189 samples
2026-08-29 14:05:50,893 | 01_parse_data | INFO | Parsed 'Values (FPKM)': 103810 genes x 189 samples
2026-08-29 14:05:51,008 | 01_parse_data | INFO | xlsx sheet label counts: FM=96 Control=93
2026-08-29 14:05:51,008 | 01_parse_data | INFO | series-matrix label counts: FM=96 Control=93
2026-08-29 14:05:51,008 | 01_parse_data | INFO | Sample counts match the paper (96 FM / 93 control) and agree between sources.
2026-08-29 14:05:51,021 | 01_parse_data | INFO | Sex fields agree between xlsx and series-matrix for all joined samples.
2026-08-29 14:06:39,643 | 01_parse_data | INFO | Wrote expression_fpkm.csv, gene_metadata.csv, sample_metadata.csv to data/processed/
2026-08-29 14:08:47,883 | 02_qc_preprocess | INFO | Loaded expression matrix: 189 samples x 103810 genes
2026-08-29 14:08:47,883 | 02_qc_preprocess | INFO | Sample counts: FM=96, Control=93 (paper: 96 FM / 93 Control)
2026-08-29 14:08:47,883 | 02_qc_preprocess | INFO | No duplicate sample IDs.
2026-08-29 14:08:47,920 | 02_qc_preprocess | INFO | Missing values in expression matrix: 15478155
2026-08-29 14:08:47,982 | 02_qc_preprocess | WARNING | Dropped 81895 genes containing any missing value (103810 -> 21915).
2026-08-29 14:08:48,005 | 02_qc_preprocess | INFO | Dropped 0 / 21915 genes with FPKM==0 in >90% of samples (21915 genes remain).
2026-08-29 14:08:48,059 | 02_qc_preprocess | INFO | Applied log2(FPKM + 1) transform.
2026-08-29 14:08:55,191 | 02_qc_preprocess | INFO | Wrote expression_log2_filtered.csv (189 x 21915) and sample_metadata_qc.csv
2026-08-29 14:08:55,799 | 02_qc_preprocess | INFO | Saved figures/pca_qc.png
2026-08-29 14:21:10,606 | 01_parse_data | INFO | Loading GSE221921_FM_ProcessedData.xlsx (this is large; may take a minute)...
2026-08-29 14:21:11,358 | 01_parse_data | INFO | Parsed 'Metadata (Samples)': 189 samples
2026-08-29 14:21:38,428 | 01_parse_data | INFO | Parsed 'Values (FPKM)': 21915 genes x 189 samples (sheet reported 103810 data rows; 81895 trailing blank rows past the real data were discarded as an Excel sheet-dimension artifact, not missing biological data)
2026-08-29 14:21:38,466 | 01_parse_data | INFO | xlsx sheet label counts: FM=96 Control=93
2026-08-29 14:21:38,466 | 01_parse_data | INFO | series-matrix label counts: FM=96 Control=93
2026-08-29 14:21:38,478 | 01_parse_data | INFO | Sample counts match the paper (96 FM / 93 control) and agree between sources.
