gene_ensembl_id,Hugo_Gene_Symbol,mean_abs_shap
ENSG00000284015.1,MIR1281,0.636818
ENSG00000117748.10,RPA2,0.5899946
ENSG00000164142.16,FAM160A1,0.47898963
ENSG00000215105.4,TTC3P1,0.47809556
ENSG00000205269.6,TMEM170B,0.43890178
ENSG00000090889.12,KIF4A,0.40777352
ENSG00000197915.7,HRNR,0.3009689
ENSG00000011201.12,ANOS1,0.2703523
ENSG00000224227.3,OR2L1P,0.2646292
ENSG00000162409.11,PRKAA2,0.2630085
ENSG00000153956.16,CACNA2D1,0.21842791
ENSG00000064692.20,SNCAIP,0.19292797
ENSG00000131401.11,NAPSB,0.17066695
ENSG00000136938.9,ANP32B,0.170393
ENSG00000206384.10,COL6A6,0.16604365
ENSG00000115137.12,DNAJC27,0.1497443
ENSG00000159128.15,IFNGR2,0.14221947
ENSG00000161642.18,ZNF385A,0.13623136
ENSG00000184232.9,OAF,0.13085584
ENSG00000224539.1,SAGE4P,0.102268845
ENSG00000233220.3,LINC00167,0.10000146
ENSG00000104904.12,OAZ1,0.087431245
ENSG00000123144.11,TRIR,0.0803845
ENSG00000164309.15,CMYA5,0.07870658
ENSG00000135363.12,LMO2,0.07368056
ENSG00000184840.12,TMED9,0.069411084
ENSG00000164713.10,BRI3,0.06456244
ENSG00000169933.16,FRMPD4,0.06152381
ENSG00000175602.4,CCDC85B,0.059516564
ENSG00000171813.14,PWWP2B,0.055411767
ENSG00000138162.19,TACC2,0.045698054
ENSG00000175416.16,CLTB,0.041194852
ENSG00000230510.7,PPP5D1,0.04004067
ENSG00000011600.12,TYROBP,0.039292336
ENSG00000260314.3,MRC1,0.028190754
ENSG00000169306.10,IL1RAPL1,0.027146356
ENSG00000154370.16,TRIM11,0.024436837
ENSG00000131669.10,NINJ1,0.020962572
ENSG00000170615.15,SLC26A5,0.020097425
ENSG00000205592.15,MUC19,0.013452013
ENSG00000182208.14,MOB2,0.010495717
ENSG00000160570.14,DEDD2,0.008537948
ENSG00000101825.8,MXRA5,0.008472194
ENSG00000204021.5,LIPK,0.0062620537
ENSG00000214212.9,C19orf38,0.0
ENSG00000163931.16,TKT,0.0
ENSG00000179010.15,MRFAP1,0.0
ENSG00000129226.14,CD68,0.0
ENSG00000120708.17,TGFBI,0.0
ENSG00000113269.14,RNF130,0.0
