top_n_shap_genes,pathway,pathway_genes_in_background,overlap_count,overlap_genes,hypergeometric_p_value,min_overlap_needed_for_p_lt_0.05
20,FM1_ECM_RhoGDI_collagen_GP6,35,0,,1.0,1
20,FM2_CLEAR_lysosomal,23,0,,1.0,1
20,FM3_FM4_interferon_JAKSTAT_death_receptor,30,0,,1.0,1
30,FM1_ECM_RhoGDI_collagen_GP6,35,0,,1.0,1
30,FM2_CLEAR_lysosomal,23,0,,1.0,1
30,FM3_FM4_interferon_JAKSTAT_death_receptor,30,0,,1.0,1
50,FM1_ECM_RhoGDI_collagen_GP6,35,0,,1.0,2
50,FM2_CLEAR_lysosomal,23,0,,1.0,2
50,FM3_FM4_interferon_JAKSTAT_death_receptor,30,0,,1.0,2
100,FM1_ECM_RhoGDI_collagen_GP6,35,0,,1.0,2
100,FM2_CLEAR_lysosomal,23,0,,1.0,2
100,FM3_FM4_interferon_JAKSTAT_death_receptor,30,0,,1.0,2
